char;time_ingame;time_rw;pos;vehicle;subtitles_text;speaker;soundfile
Michael;05:00:00;13:10:53;5311.228,-5212.52,-5212.52;;;;
Michael;05:00:00;13:10:53;5311.228,-5212.52,-5212.52;;;;
Michael;05:00:00;13:10:54;5311.228,-5212.52,-5212.52;;;;
Michael;05:00:00;13:10:54;5311.228,-5212.52,-5212.52;;;;
Michael;05:00:00;13:10:55;5311.228,-5212.52,-5212.52;;;;
Michael;05:00:00;13:10:55;5311.228,-5212.52,-5212.52;;;;
Michael;05:00:00;13:10:56;5311.228,-5212.52,-5212.52;;;;
Michael;05:00:00;13:10:56;5311.228,-5212.52,-5212.52;;;;
Michael;05:00:00;13:10:57;5311.228,-5212.52,-5212.52;;;;
Michael;05:00:00;13:10:57;5311.153,-5212.212,-5212.212;;;;
Michael;05:00:00;13:10:58;5311.146,-5212.332,-5212.332;;;;
Michael;05:00:00;13:10:58;5311.246,-5212.409,-5212.409;;;;
Michael;05:00:00;13:10:59;5311.478,-5212.317,-5212.317;;down there!;Cutscene;Cutscene
Michael;05:00:00;13:10:59;5311.419,-5212.459,-5212.459;;;;
Michael;05:00:00;13:11:00;5311.228,-5212.28,-5212.28;;;;
Michael;05:00:00;13:11:00;5311.101,-5212.183,-5212.183;;;;
Michael;05:00:01;13:11:01;5311.01,-5211.976,-5211.976;;ight, everybody pays attention, no one gets hurt.;Cutscene;Cutscene
Michael;05:00:00;13:11:02;5310.96,-5211.874,-5211.874;;;;
Michael;05:00:00;13:11:02;5310.905,-5211.867,-5211.867;;;;
Michael;05:00:00;13:11:03;5310.899,-5212.004,-5212.004;;;;
Michael;05:00:00;13:11:03;5310.905,-5211.943,-5211.943;;;;
Michael;05:00:00;13:11:04;5310.904,-5211.928,-5211.928;;;;
Michael;05:00:00;13:11:04;5310.903,-5211.941,-5211.941;;rgh! Open the door, or they'll get worse than hurt!;Cutscene;Cutscene
Michael;05:00:00;13:11:05;5310.911,-5211.973,-5211.973;;;;
