link_id,src,dst,width,lanes_in,lanes_out,link_code
0,0,1,6,2,1,0
1,1,38152,6,2,1,0
2,3,28718,6,2,1,0
3,4,28719,6,2,1,0
4,5,6,6,2,1,0
5,6,7,6,2,1,0
6,7,8,6,2,1,0
7,8,9,0,2,0,16
8,9,48683,0,2,0,0
9,10,48682,0,2,0,0
10,11,48681,0,2,0,0
11,12,13,0,2,0,0
12,13,35994,0,2,0,0
13,14,35995,0,2,0,0
14,15,48680,0,2,0,0
15,16,48679,0,2,0,0
16,17,48678,0,2,0,0
17,18,48677,0,2,0,0
18,19,20,0,2,0,0
19,20,48676,0,2,0,0
20,21,22,0,2,0,0
21,22,14487,0,2,0,0
22,23,24,0,2,0,16
23,24,25,6,2,1,0
24,25,26,6,2,1,0
25,26,27,6,2,1,0
26,27,28,6,2,1,0
27,29,30,6,2,1,0
28,30,31,0,2,0,16
29,31,32,0,2,0,0
30,32,33,0,2,0,0
31,33,34,0,2,0,0
32,34,35,0,2,0,0
33,35,36,0,2,0,0
34,37,38,0,2,0,0
35,38,39,0,2,0,0
36,39,40,0,2,0,0
37,40,41,0,2,0,0
38,41,35979,0,2,0,0
39,44,35978,6,2,1,0
40,45,46,6,2,1,0
41,46,16106,6,2,1,0
42,47,48,6,2,1,0
43,48,49,6,2,1,0
44,49,50,6,2,1,0
45,50,51,6,2,1,0
46,51,52,6,2,1,0
47,52,53,6,2,1,0
48,53,54,6,2,1,0
49,54,55,6,2,1,0
50,55,56,6,2,1,0
51,56,57,6,2,1,0
52,58,35976,0,1,1,0
53,59,60,0,1,1,0
54,60,61,0,1,1,0
55,61,62,0,1,1,0
56,62,63,0,1,1,0
57,63,64,0,1,1,0
58,64,65,0,1,1,0
59,65,66,0,1,1,0
60,66,67,0,1,1,0
61,67,68,0,1,0,16
62,68,69,0,1,0,0
63,69,70,0,1,0,0
64,70,71,0,1,0,0
65,72,16105,5,1,1,0
66,73,74,5,1,1,0
67,74,75,5,1,1,0
68,77,76,0,1,1,0
69,78,77,0,1,1,0
70,79,22954,0,1,1,0
71,80,79,0,1,1,0
72,81,80,0,1,1,0
73,82,81,0,1,1,0
74,84,83,0,1,1,0
75,85,82,0,1,1,0
76,83,85,0,1,1,0
77,86,87,0,1,1,0
78,87,88,0,1,1,0
79,88,89,0,1,1,0
80,89,90,0,1,1,0
81,90,91,0,1,1,0
82,92,93,0,1,1,0
83,93,94,0,1,1,0
84,94,95,0,1,1,0
85,95,96,0,1,1,0
86,96,36183,0,1,1,0
87,97,98,0,1,1,0
88,98,99,0,1,1,0
89,99,100,0,1,1,0
90,100,101,0,1,1,0
91,101,29807,3,1,1,16
92,102,103,6,1,1,0
93,103,104,6,1,1,0
94,104,105,6,1,1,0
95,105,106,6,1,1,0
96,106,30,6,1,1,0
97,108,107,0,2,0,0
98,109,108,0,2,0,0
99,107,84,0,2,0,0
100,110,111,0,1,0,0
101,113,109,0,1,0,0
102,114,112,0,1,0,0
103,112,113,0,1,0,0
104,111,114,0,1,0,0
105,86,84,0,1,1,0
106,116,115,0,1,0,0
107,117,116,0,1,0,0
108,118,117,0,1,0,0
109,115,110,0,1,0,0
110,119,0,6,2,1,16
111,121,120,0,3,0,0
112,122,121,0,3,0,0
113,119,122,0,2,0,16
114,123,118,0,1,0,0
115,120,123,0,1,0,0
116,125,126,0,2,0,0
117,126,127,0,2,0,0
118,127,128,0,2,0,0
119,128,129,0,2,0,0
120,129,130,0,2,0,0
121,130,131,0,2,0,0
122,131,132,0,2,0,0
123,132,133,0,2,0,0
124,133,134,0,2,0,0
125,134,135,0,2,0,0
126,135,136,0,2,0,0
127,136,137,0,2,0,0
128,137,138,0,2,0,0
129,138,139,0,2,0,0
130,139,4765,0,2,0,0
131,143,144,0,1,0,0
132,144,145,0,2,0,0
133,145,146,0,2,0,0
134,146,147,0,2,0,0
135,147,148,0,2,0,0
136,148,149,0,1,0,0
137,150,151,0,2,0,0
138,151,152,0,2,0,0
139,152,153,0,2,0,0
140,153,154,0,2,0,0
141,154,155,0,2,0,0
142,155,156,0,2,0,0
143,156,157,0,2,0,0
144,158,159,0,2,0,0
145,159,160,0,2,0,0
146,160,161,0,2,0,0
147,161,162,0,2,0,0
148,162,163,0,2,0,0
149,164,71123,0,2,0,0
150,165,166,0,3,0,0
151,166,167,0,3,0,0
152,167,168,0,3,0,0
153,168,169,0,3,0,0
154,169,170,0,3,0,0
155,170,171,0,3,0,0
156,171,172,0,3,0,0
157,172,173,0,3,0,0
158,174,175,0,3,0,0
159,175,176,0,3,0,0
160,176,177,0,3,0,0
161,177,55550,0,3,0,0
162,178,179,0,3,0,0
163,173,174,0,3,0,0
164,180,181,0,3,0,0
165,181,182,0,3,0,0
166,182,183,0,3,0,0
167,183,184,0,3,0,0
168,184,185,0,3,0,0
169,185,186,0,3,0,0
170,186,187,0,3,0,0
171,187,188,0,3,0,0
172,188,189,0,3,0,0
173,189,190,0,3,0,0
174,190,191,0,3,0,0
175,191,192,0,3,0,0
176,192,193,0,3,0,0
177,194,143,0,1,0,0
178,195,196,0,2,0,0
179,196,197,0,2,0,0
180,197,198,0,2,0,0
181,198,199,0,2,0,0
182,199,200,0,2,0,0
183,200,201,0,2,0,0
184,202,203,0,4,0,0
185,203,204,0,4,0,0
186,204,205,0,4,0,0
187,205,206,0,4,0,0
188,206,207,0,4,0,0
189,207,208,0,4,0,0
190,208,209,0,4,0,0
191,209,210,0,4,0,0
192,210,211,0,4,0,0
193,211,212,0,4,0,0
194,212,213,0,4,0,0
195,213,214,0,4,0,0
196,214,215,0,4,0,0
197,215,216,0,4,0,0
198,216,217,0,4,0,0
199,217,218,0,4,0,0
200,218,219,0,4,0,0
201,220,221,0,2,0,0
202,221,202,0,2,0,16
203,222,223,0,2,0,0
204,224,225,0,2,0,0
205,226,227,0,2,0,0
206,227,228,0,2,0,0
207,228,229,0,2,0,0
208,229,224,0,2,0,0
209,141,230,0,2,0,0
210,230,231,0,2,0,0
211,231,226,0,2,0,0
212,233,234,0,2,0,0
213,234,235,0,2,0,0
214,235,236,0,2,0,0
215,236,237,0,2,0,0
