char;time_ingame;time_rw;pos;vehicle;subtitles_text;speaker;soundfile
Franklin;19:03:21;15:58:44;-14.3803,-1438.514,-1438.514;;;;
Franklin;19:03:38;15:58:44;-14.3803,-1438.514,-1438.514;;;;
Franklin;19:03:53;15:58:45;-14.3803,-1438.514,-1438.514;;;;
Franklin;19:04:09;15:58:45;-14.3803,-1438.514,-1438.514;;;;
Franklin;19:04:24;15:58:46;-14.3803,-1438.514,-1438.514;;;;
Franklin;19:04:40;15:58:46;-14.3803,-1438.514,-1438.514;;;;
Franklin;19:04:56;15:58:47;-14.3803,-1438.514,-1438.514;;;;
Franklin;19:05:11;15:58:47;-14.3803,-1438.514,-1438.514;;;;
Franklin;19:05:27;15:58:48;-14.3803,-1438.514,-1438.514;;;;
Franklin;19:05:42;15:58:49;-14.38031,-1438.514,-1438.514;;;;
Franklin;19:05:58;15:58:49;-14.41128,-1438.985,-1438.985;;;;
Franklin;19:06:13;15:58:50;-14.4649,-1439.902,-1439.902;;;;
Franklin;19:06:29;15:58:50;-14.3208,-1440.773,-1440.773;;;;
Franklin;19:06:44;15:58:51;-14.2063,-1441.631,-1441.631;;;;
Franklin;19:07:00;15:58:51;-14.16425,-1442.036,-1442.036;;;;
Franklin;19:07:16;15:58:52;-14.15167,-1442.133,-1442.133;;;;
Franklin;19:07:31;15:58:52;-14.15143,-1442.134,-1442.134;;;;
Franklin;19:07:47;15:58:53;-14.15143,-1442.134,-1442.134;;;;
Franklin;19:08:02;15:58:53;-14.07334,-1442.205,-1442.205;;;;
Franklin;19:08:18;15:58:54;-13.76513,-1442.784,-1442.784;;;;
Franklin;19:08:33;15:58:54;-14.34558,-1443.184,-1443.184;;;;
Franklin;19:08:49;15:58:55;-15.21267,-1443.378,-1443.378;;;;
Franklin;19:09:04;15:58:55;-16.54495,-1443.695,-1443.695;;;;
Franklin;19:09:20;15:58:56;-18.91022,-1444.05,-1444.05;;;;
Franklin;19:09:36;15:58:56;-21.08698,-1443.546,-1443.546;;;;
Franklin;19:09:51;15:58:57;-22.71178,-1441.983,-1441.983;;;;
Franklin;19:10:07;15:58:57;-23.72325,-1441.664,-1441.664;;;;
Franklin;19:10:23;15:58:58;-23.99134,-1441.365,-1441.365;;;;
Franklin;19:10:37;15:58:58;-24.02001,-1441.332,-1441.332;;;;
Franklin;19:10:52;15:58:59;-24.02001,-1441.332,-1441.332;;;;
Franklin;19:10:59;15:58:59;-24.02001,-1441.332,-1441.332;;;;
Franklin;19:11:14;15:59:00;-24.02001,-1441.332,-1441.332;;;;
Franklin;19:11:30;15:59:00;-24.02001,-1441.332,-1441.332;;;;
Franklin;19:11:46;15:59:01;-24.02001,-1441.332,-1441.332;;;;
Franklin;19:12:01;15:59:02;-24.02001,-1441.332,-1441.332;;;;
Franklin;19:12:17;15:59:02;-23.99171,-1441.362,-1441.362;;;;
Franklin;19:12:32;15:59:03;-23.70347,-1441.675,-1441.675;;;;
Franklin;19:12:41;15:59:03;-23.32162,-1442.001,-1442.001;;;;
Franklin;19:12:56;15:59:04;-22.67224,-1442.513,-1442.513;;;;
Franklin;19:13:11;15:59:04;-21.94421,-1443.018,-1443.018;;;;
Franklin;19:13:26;15:59:05;-21.29602,-1443.62,-1443.62;;;;
Franklin;19:13:42;15:59:05;-20.51611,-1444.072,-1444.072;;;;
Franklin;19:13:58;15:59:06;-19.61279,-1444.083,-1444.083;;;;
Franklin;19:14:14;15:59:06;-18.54557,-1444.271,-1444.271;;;;
Franklin;19:14:29;15:59:07;-17.89557,-1443.88,-1443.88;;;;
Franklin;19:14:45;15:59:07;-17.58662,-1443.727,-1443.727;;;;
Franklin;19:15:00;15:59:08;-16.63945,-1443.62,-1443.62;;;;
Franklin;19:15:16;15:59:08;-15.71829,-1443.685,-1443.685;;;;
Franklin;19:15:31;15:59:09;-14.86847,-1441.628,-1441.628;;;;
Franklin;19:15:47;15:59:09;-14.29832,-1441.132,-1441.132;;;;
Franklin;19:16:03;15:59:10;-14.25142,-1440.998,-1440.998;;;;
Franklin;19:16:22;15:59:17;-14.21003,-1441.024,-1441.024;;;;
Franklin;19:16:37;15:59:18;-14.18206,-1441.047,-1441.047;;;;
Franklin;19:16:53;15:59:18;-14.17522,-1441.052,-1441.052;;;;
Franklin;19:17:08;15:59:19;-14.16827,-1441.057,-1441.057;;;;
Franklin;19:17:24;15:59:19;-14.16039,-1441.064,-1441.064;;;;
Franklin;19:17:26;15:59:21;-14.15951,-1441.065,-1441.065;;;;
Franklin;19:17:41;15:59:22;-14.15335,-1441.071,-1441.071;;;;
Franklin;19:17:56;15:59:22;-14.1498,-1441.083,-1441.083;;;;
Franklin;19:18:12;15:59:23;-14.43716,-1441.525,-1441.525;;;;
Franklin;19:18:27;15:59:23;-15.04361,-1443.175,-1443.175;;;;
Franklin;19:18:43;15:59:24;-16.61477,-1444.808,-1444.808;;;;
Franklin;19:18:59;15:59:24;-19.86683,-1443.944,-1443.944;;;;
Franklin;19:19:14;15:59:25;-22.17274,-1441.851,-1441.851;;;;
Franklin;19:19:30;15:59:26;-22.17968,-1441.876,-1441.876;;;;
Franklin;19:19:45;15:59:26;-21.895,-1441.797,-1441.797;;;;
Franklin;19:20:01;15:59:27;-21.23895,-1440.932,-1440.932;;;;
Franklin;19:20:17;15:59:27;-21.36557,-1438.708,-1438.708;;;;
Franklin;19:20:32;15:59:28;-21.36568,-1438.707,-1438.707;;;;
Franklin;19:20:48;15:59:28;-22.62957,-1439.137,-1439.137;True,Sports,BUFFALO02,0,0;;;
Franklin;19:21:03;15:59:29;-22.62957,-1439.137,-1439.137;True,Sports,BUFFALO02,0,0;;;
Franklin;19:21:19;15:59:29;-22.62957,-1439.137,-1439.137;True,Sports,BUFFALO02,0,0;;;
Franklin;19:21:35;15:59:30;-22.62957,-1439.137,-1439.137;True,Sports,BUFFALO02,0,0;;;
Franklin;19:21:50;15:59:30;-22.62957,-1439.137,-1439.137;True,Sports,BUFFALO02,0,0;;;
Franklin;19:22:06;15:59:31;-22.62964,-1439.137,-1439.137;True,Sports,BUFFALO02,0,0;;;
Franklin;19:22:22;15:59:31;-21.34265,-1438.733,-1438.733;;;;
Franklin;19:22:37;15:59:32;-21.12553,-1439.112,-1439.112;;;;
Franklin;19:22:52;15:59:32;-21.10053,-1440.47,-1440.47;;;;
Franklin;19:23:08;15:59:33;-21.07877,-1443.699,-1443.699;;;;
Franklin;19:23:24;15:59:33;-18.66075,-1444.193,-1444.193;;;;
Franklin;19:23:39;15:59:34;-16.33624,-1443.564,-1443.564;;;;
Franklin;19:23:55;15:59:34;-13.83137,-1442.336,-1442.336;;;;
Franklin;19:24:11;15:59:35;-13.88586,-1441.19,-1441.19;;;;
Franklin;19:24:26;15:59:35;-14.62002,-1438.391,-1438.391;;;;
Franklin;19:24:42;15:59:36;-15.66661,-1437.136,-1437.136;;;;
Franklin;19:24:58;15:59:36;-16.94302,-1437.108,-1437.108;;;;
Franklin;19:25:13;15:59:37;-16.71817,-1436.836,-1436.836;;;;
Franklin;19:25:29;15:59:37;-15.98669,-1436.585,-1436.585;;;;
Franklin;19:25:44;15:59:38;-15.25792,-1436.977,-1436.977;;;;
Franklin;19:26:00;15:59:39;-15.51563,-1438.009,-1438.009;;;;
Franklin;19:26:15;15:59:39;-16.25318,-1439.075,-1439.075;;;;
Franklin;19:26:31;15:59:40;-17.95848,-1439.84,-1439.84;;;;
Franklin;19:26:47;15:59:40;-18.41118,-1440.762,-1440.762;;;;
Franklin;19:27:02;15:59:41;-17.96549,-1439.944,-1439.944;;;;
Franklin;19:27:18;15:59:41;-18.01934,-1440.041,-1440.041;;;;
Franklin;19:27:33;15:59:42;-18.22199,-1440.449,-1440.449;;;;
Franklin;19:27:48;15:59:42;-18.30073,-1440.767,-1440.767;;;;
Franklin;19:28:04;15:59:43;-18.29837,-1441.003,-1441.003;;;;
